#dist (cm)	xi			T(K)		n_H (cm^-3)
 2.0831E+25  1.7148E-01  1.5387E+04  7.0000E-05  
 2.0933E+25  1.7149E-01  1.5363E+04  7.0000E-05  
 2.1036E+25  1.7151E-01  1.5338E+04  7.0000E-05  
 2.1139E+25  1.7152E-01  1.5314E+04  7.0000E-05  
 2.1242E+25  1.7153E-01  1.5291E+04  7.0000E-05  
 2.1345E+25  1.7154E-01  1.5269E+04  7.0000E-05  
 2.1448E+25  1.7156E-01  1.5246E+04  7.0000E-05  
 2.1551E+25  1.7157E-01  1.5225E+04  7.0000E-05  
 2.1653E+25  1.7158E-01  1.5203E+04  7.0000E-05  
 2.1756E+25  1.7159E-01  1.5182E+04  7.0000E-05  
 2.1859E+25  1.7160E-01  1.5162E+04  7.0000E-05  
 2.1962E+25  1.7161E-01  1.5141E+04  7.0000E-05  
 2.2065E+25  1.7162E-01  1.5121E+04  7.0000E-05  
 2.2168E+25  1.7163E-01  1.5102E+04  7.0000E-05  
 2.2271E+25  1.7164E-01  1.5084E+04  7.0000E-05  
 2.2374E+25  1.7165E-01  1.5065E+04  7.0000E-05  
 2.2476E+25  1.7166E-01  1.5047E+04  7.0000E-05  
 2.2579E+25  1.7167E-01  1.5029E+04  7.0000E-05  
 2.2682E+25  1.7168E-01  1.5012E+04  7.0000E-05  
 2.2785E+25  1.7169E-01  1.4995E+04  7.0000E-05  
 2.2888E+25  1.7170E-01  1.4979E+04  7.0000E-05  
 2.2991E+25  1.7171E-01  1.4962E+04  7.0000E-05  
 2.3094E+25  1.7171E-01  1.4946E+04  7.0000E-05  
 2.3196E+25  1.7172E-01  1.4931E+04  7.0000E-05  
 2.3299E+25  1.7173E-01  1.4917E+04  7.0000E-05  
 2.3402E+25  1.7174E-01  1.4902E+04  7.0000E-05  
 2.3505E+25  1.7174E-01  1.4887E+04  7.0000E-05  
 2.3608E+25  1.7175E-01  1.4873E+04  7.0000E-05  
 2.3711E+25  1.7176E-01  1.4859E+04  7.0000E-05  
 2.3814E+25  1.7176E-01  1.4845E+04  7.0000E-05  
 2.3917E+25  1.7177E-01  1.4832E+04  7.0000E-05  
 2.4019E+25  1.7178E-01  1.4819E+04  7.0000E-05  
 2.4122E+25  1.7178E-01  1.4806E+04  7.0000E-05  
 2.4225E+25  1.7179E-01  1.4793E+04  7.0000E-05  
 2.4328E+25  1.7179E-01  1.4781E+04  7.0000E-05  
 2.4431E+25  1.7180E-01  1.4769E+04  7.0000E-05  
 2.4534E+25  1.7181E-01  1.4757E+04  7.0000E-05  
 2.4637E+25  1.7181E-01  1.4745E+04  7.0000E-05  
 2.4739E+25  1.7182E-01  1.4733E+04  7.0000E-05  
 2.4842E+25  1.7182E-01  1.4721E+04  7.0000E-05  
 2.4945E+25  1.7183E-01  1.4710E+04  7.0000E-05  
 2.5048E+25  1.7183E-01  1.4698E+04  7.0000E-05  
 2.5151E+25  1.7184E-01  1.4687E+04  7.0000E-05  
 2.5254E+25  1.7184E-01  1.4676E+04  7.0000E-05  
 2.5357E+25  1.7185E-01  1.4666E+04  7.0000E-05  
 2.5460E+25  1.7185E-01  1.4655E+04  7.0000E-05  
 2.5562E+25  1.7186E-01  1.4645E+04  7.0000E-05  
 2.5665E+25  1.7186E-01  1.4636E+04  7.0000E-05  
 2.5768E+25  1.7187E-01  1.4626E+04  7.0000E-05  
 2.5871E+25  1.7187E-01  1.4617E+04  7.0000E-05  
